      Type    Time(s)            Source_IP       Destination_IP         Source_Port     Destination_Port   Protocol     Length      Flags
   Unicast       4.54           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       4.59           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       4.59           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       4.59           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       4.95           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       4.95           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       4.95           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       5.09           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       5.32           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       5.32           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       5.32           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       5.54           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast       5.54           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast       5.54           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       5.59           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       5.59           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       5.59           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       5.96           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       5.96           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       5.96           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       6.09           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       6.32           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       6.32           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       6.32           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       6.54           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast       6.54           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast       6.54           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       6.59           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       6.59           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       6.59           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       6.96           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       6.96           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       6.96           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       7.09           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       7.32           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       7.33           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       7.33           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       7.55           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast       7.55           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
   Unicast       7.55           172.18.0.2           172.18.0.6               10000                51102        TCP         66     0x0010
   Unicast       7.59           172.18.0.2           172.18.0.5               10000                37110        TCP        100     0x0018
   Unicast       7.59           172.18.0.5           172.18.0.2               37110                10000        TCP         77     0x0018
   Unicast       7.60           172.18.0.2           172.18.0.5               10000                37110        TCP         66     0x0010
   Unicast       7.96           172.18.0.2           172.18.0.4               10000                43360        TCP        100     0x0018
   Unicast       7.96           172.18.0.4           172.18.0.2               43360                10000        TCP         77     0x0018
   Unicast       7.96           172.18.0.2           172.18.0.4               10000                43360        TCP         66     0x0010
 Multicast       8.10           172.18.0.2            224.1.1.1               39629                 5007        UDP         78       None
   Unicast       8.33           172.18.0.2           172.18.0.3               10000                48584        TCP        100     0x0018
   Unicast       8.33           172.18.0.3           172.18.0.2               48584                10000        TCP         77     0x0018
   Unicast       8.33           172.18.0.2           172.18.0.3               10000                48584        TCP         66     0x0010
   Unicast       8.55           172.18.0.2           172.18.0.6               10000                51102        TCP        100     0x0018
   Unicast       8.55           172.18.0.6           172.18.0.2               51102                10000        TCP         77     0x0018
